"seller_id","percentage_on_time","avg_review_score"
"2eb70248d66e0e3ef83659f71b244378","0.89","2.7"
"cb5df0dcb9e280b1780e9d589889f2c7","0.89","2.6"
"14d7985702e72162bbf13b6beb74ab2b","0.89","4.3"
"056b4ada5bbc2c50cc7842547dda6b51","0.89","4.1"
"fffd5413c0700ac820c7069d66d98c89","0.89","3.9"
"b499c00f28f4b7069ff6550af8c1348a","0.89","4.1"
"c0563dd588b775f2e37747ef6ad6c92c","0.89","4.4"
"dd7ddc04e1b6c2c614352b383efe2d36","0.89","3.8"
"2089a6d640999f9b9141ac719b2af596","0.89","3.7"
"8b2492b7ff4468839593fafeed55bad9","0.89","3.9"
"863d2ebcd347ce4922de7a0f9a5581d6","0.89","3.9"
"406822777a0b9eb5c50e442dd4cd3ec5","0.89","4.3"
"7bac63f6603d382cc8d0832eb6c100a8","0.89","4.0"
"7d13fca15225358621be4086e1eb0964","0.89","4.0"
"6fd52c528dcb38be2eea044946b811f8","0.89","3.5"
"ad97a199236354e53fcd91a5a913e9a2","0.89","4.5"
"d7485b33791774c36108f8c69602d48d","0.90","3.7"
"9dd59e43f0c9f0553244e8f9c2fb247e","0.90","4.8"
"c3867b4666c7d76867627c2f7fb22e21","0.90","3.9"
"06579cb253ecd5a3a12a9e6eb6bf8f47","0.90","3.8"
"e8b4225284fbb02d16f200513f1f395d","0.90","4.2"
"0725b8c0f3f906e58f70cbe76b7c748c","0.90","3.6"
"1a932caad4f9d804097d7f8e615baed1","0.90","3.6"
"3f3486b61f45078d4f31ee5e43d8c5bb","0.90","4.3"
"7fdb0720c8d7c9075538b365dc8c3a22","0.90","2.4"
"4a3ca9315b744ce9f8e9374361493884","0.90","3.8"
"392e0502231ae2f8b29994ef6398cd77","0.90","4.2"
"56e361f411e38dcef17cdc2a3d99628b","0.90","4.5"
"20cb7c2fde3e5bf10f0bbe7394e1c6a9","0.90","3.8"
"42b729f859728f5079499127a9c2ef37","0.90","4.4"
"f1b93673502375d491780bb49d615dbc","0.90","2.7"
"f8201cab383e484733266d1906e2fdfa","0.90","4.1"
"9d39404483343dd55c7ae254494d8388","0.90","3.5"
"7ecd59e5e20407131822c1a68ac59c1f","0.90","4.5"
"8e6d7754bc7e0f22c96d255ebda59eba","0.90","3.0"
"a673821011d0cec28146ea42f5ab767f","0.90","3.9"
"3968920b9aa752ab98f7d5888c9252f2","0.90","4.1"
"8444e55c1f13cd5c179851e5ca5ebd00","0.90","3.1"
"4869f7a5dfa277a7dca6462dcf3b52b2","0.90","4.1"
"1782ce2db72c3dda627d5e7c898104e1","0.90","4.3"
"3db66a856d18a9cba7c9241fc5221c50","0.90","4.2"
"99eaacc9e6046db1c82b163c5f84869f","0.90","3.9"
"3df020b72d3d44b3af9d110fa3940b65","0.90","4.0"
"2d2322d842118867781fc737e96d59a1","0.90","4.9"
"5058e8c1e82653974541e83690655b4a","0.90","3.1"
"527801b552d0077ffd170872eb49683b","0.90","4.5"
"f5f46307a4d15880ca14fab4ad9dfc9b","0.90","4.0"
